,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Amari Cooper,CLE,9,WR,64,73,87,0.36,0.19,,87
,Dawson Knox,BUF,7,TE,89,105,88,-0.01,-0.16,,88
,Trey Lance,SF,9,QB,100,93,89,-0.11,-0.04,,89
,Kareem Hunt,CLE,9,RB,84,75,90,0.07,0.20,,90
,Cordarrelle Patterson,ATL,14,RB,81,84,91,0.12,0.08,,91
,Dak Prescott,DAL,9,QB,78,88,92,0.18,0.05,,92
,Matthew Stafford,LAR,7,QB,93,99,93,0.00,-0.06,,93
,DeVonta Smith,PHI,7,WR,88,90,94,0.07,0.04,,94
,Ken Walker,SEA,11,RB,89,96,95,0.07,-0.01,,95
,Christian Kirk,JAC,11,WR,101,97,96,-0.05,-0.01,,96
,Darrell Henderson,LAR,7,RB,116,109,97,-0.16,-0.11,9,97
,Allen Lazard,GB,14,WR,102,92,98,-0.04,0.07,,98
,Zach Ertz,ARI,13,TE,91,94,99,0.09,0.05,,99
,Tyler Lockett,SEA,11,WR,97,100,100,0.03,0.00,,100
,Chris Godwin,TB,11,WR,71,68,101,0.42,0.49,,101
,James Cook,BUF,7,RB,103,102,102,-0.01,0.00,,102
,Nyheim Hines,IND,14,RB,123,117,103,-0.16,-0.12,,103
,Kirk Cousins,MIN,7,QB,111,107,104,-0.06,-0.03,,104
,Aaron Rodgers,GB,14,QB,92,101,105,0.14,0.04,,105
,Derek Carr,LV,6,QB,105,108,106,0.01,-0.02,,106
,Robert Woods,TEN,6,WR,104,104,107,0.03,0.03,,107
,Russell Gage,TB,11,WR,119,123,108,-0.09,-0.12,,108
,Kadarius Toney,NYG,9,WR,114,106,109,-0.04,0.03,10,109
,Drake London,ATL,14,WR,99,91,110,0.11,0.21,,110
,James Robinson,JAC,11,RB,113,115,111,-0.02,-0.03,,111
,Albert Okwuegbunam,DEN,9,TE,122,138,112,-0.08,-0.19,,112
,Michael Carter,NYJ,10,RB,106,111,113,0.07,0.02,,113
,Pat Freiermuth,PIT,9,TE,117,110,114,-0.03,0.04,,114
,Alexander Mattison,MIN,7,RB,115,118,115,0.00,-0.03,,115
,Cole Kmet,CHI,14,TE,124,113,116,-0.06,0.03,,116
,DeAndre Hopkins,ARI,13,WR,95,103,117,0.23,0.14,,117
,Jamaal Williams,DET,6,RB,153,132,118,-0.23,-0.11,,118
,Chris Olave,NO,14,WR,107,112,119,0.11,0.06,,119
,Justin Fields,CHI,14,QB,134,128,120,-0.10,-0.06,,120
,Brian Robinson,WAS,14,RB,111,130,121,0.09,-0.07,11,121
